lig_code,smiles,inchikey,chembl_id,er_action
0CZ,c1cc(ccc1C(c2ccc(cc2)O)(C(F)(F)F)C(F)(F)F)O,,,unknown
0D1,c1cc(ccc1C(=C(Cl)Cl)c2ccc(cc2)O)O,,,unknown
0L8,c1cc(ccc1c2c(cc(cc2Br)CO)c3ccoc3)O,,,unknown
15Q,c1cc(c(cc1c2ccc(c(c2Cl)C=NO)O)F)O,,,unknown
17M,CC12CCc3c4ccc(cc4ccc3C1CCC2(C)O)O,,CHEMBL4297438,unknown
1GJ,c1ccc(cc1)Cn2c(c3cccc(c3n2)C(F)(F)F)c4ccc(cc4O)O,,,unknown
1GM,CCn1c(c2cccc(c2n1)C(F)(F)F)c3ccc(cc3O)O,,,unknown
1GQ,CCCCn1c2c(cccc2C(F)(F)F)c(n1)c3ccc(cc3O)O,,,unknown
1GR,CC(C)Cn1c2c(cccc2C(F)(F)F)c(n1)c3ccc(cc3O)O,,,unknown
1GS,CC(C)Cn1c(c2cccc(c2n1)C(F)(F)F)c3ccc(cc3O)O,,,unknown
1GT,C=CCCn1c2c(cccc2C(F)(F)F)c(n1)c3ccc(cc3O)O,,CHEMBL1201497,agonist
1GU,C=CCCn1c(c2cccc(c2n1)C(F)(F)F)c3ccc(cc3O)O,,,unknown
1GV,Cc1cc(ccc1c2ccc(s2)c3ccc(cc3C)O)O,,,unknown
1HP,Cn1c2cc(cnc2nc1N)c3ccc(cc3)O,,,unknown
244,c1cc(ccc1c2cc3cc(cc(c3o2)CC#N)O)O,,CHEMBL13254,unknown
27G,CCCCOC(=O)c1ccccc1C(=O)OCc2ccccc2,,,unknown
27H,CC1=CCC2(CCC(C2C(C1)OC(=O)c3ccc(cc3)O)(C(C)C)O)C,,,unknown
27J,CC1CCCC(CCCCCc2cc(cc(c2C(=O)O1)O)O)O,,,unknown
27K,CCCCOC(=O)c1ccc(cc1)O,,,unknown
27L,CC(C)(C)CC(C)(C)c1ccc(cc1)O,,CHEMBL263441,unknown
27M,c1cc(c(cc1O)O)C(=O)c2ccc(cc2O)O,,,unknown
27N,c1cc(ccc1C(c2ccc(cc2)O)C(Cl)(Cl)Cl)O,,CHEMBL3137315,unknown
29S,Cc1c2cc(ccc2n(c1c3ccc(cc3)O)Cc4ccc(cc4)OCCN5CCCCCC5)O,,,unknown
2I9,CN(C)C(=O)C=CCNCCOc1ccc(cc1)Oc2c3ccc(cc3sc2c4ccc(cc4)O)O,,CHEMBL2108623,unknown
2OH,CC(C)(c1ccc(cc1)O)c2ccc(cc2)O,,,unknown
369,Cc1cc2cc(ccc2c(c1c3cccc(c3)O)Oc4ccc(cc4)O)O,,CHEMBL8690,unknown
36J,CC1CCCC(CCCC=Cc2cc(cc(c2C(=O)O1)O)O)O,,,unknown
36M,CCCOC(=O)c1ccc(cc1)O,,,unknown
3YJ,CCCN(C)C(=O)CCCCCCCCCCC1Cc2cc(ccc2C3C1C4CCC(C4(CC3)C)O)O,,,unknown
458,CC1=CCC2(CC1C(OC2)c3ccc(cc3)O)CO,,CHEMBL267014,unknown
459,CC1CCC2(COC(C1C2C)c3ccc(cc3)O)CO,,CHEMBL269705,unknown
4OH,CC12CCC3c4ccc(cc4CCC3C1C(C(C2O)O)O)O,,,unknown
4Q7,COc1ccccc1OS(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)O)c5ccc(cc5)O,,,unknown
4Q9,Cc1ccccc1OS(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)O)c5ccc(cc5)O,,,unknown
53Q,CCN(CC)CCOc1ccc(cc1)C(=C(c2ccccc2)Cl)c3ccccc3,,,unknown
5C4,CC(=C(c1ccc(cc1)O)c2ccc(cc2)O)c3cccc(c3)Nc4ccccc4,,,unknown
5C6,CCC(=C(c1ccc(cc1)O)c2ccc(cc2)O)c3cccc(c3)Nc4cccc5c4cccc5,,CHEMBL368464,unknown
5C7,CC(=C(c1ccc(cc1)O)c2ccc(cc2)O)c3ccc(cc3)C(C)(C)C,,,unknown
5C8,CC(=C(c1ccc(cc1)O)c2ccc(cc2)O)c3ccc4ccccc4c3,,CHEMBL2108767,unknown
5C9,CCC(=C(c1ccc(cc1)O)c2ccc(cc2)O)c3cccc(c3)Nc4cccc(c4)C,,,unknown
5CC,CCC(=C(c1ccc(cc1)O)c2ccc(cc2)O)c3cccc(c3)Nc4ccccc4,,,unknown
5CE,CC12CCC(CC1CCC2O)c3ccc(cc3C(F)(F)F)O,,,unknown
5CJ,CC12CCC(CC1CCC2O)c3cc(c(c(c3F)F)O)F,,,unknown
5CK,CC12CCC(CC1CCC2O)c3ccc(c(c3F)F)O,,,unknown
5CQ,Cc1cc(ccc1C2CCC3(C(C2)CCC3O)C)O,,,unknown
5DG,CC(=C(c1ccc(cc1)O)c2ccc(cc2)O)c3cccc(c3)Nc4ccc(cc4)F,,,unknown
5DH,c1ccc(cc1)C(=C(c2ccc(cc2)O)c3ccc(cc3)O)C#N,,,unknown
5DJ,c1ccc(cc1)C=C(c2ccc(cc2)O)c3ccc(cc3)O,,,unknown
5ES,c1cc(cc(c1)Nc2ccc(cc2)F)C=C(c3ccc(cc3)O)c4ccc(cc4)O,,,unknown
5ET,c1cc(c(cc1O)Cl)c2ccc(s2)c3ccc(cc3Cl)O,,,unknown
5EU,Cc1cc(sc1c2ccc(cc2Cl)O)c3ccc(cc3Cl)O,,,unknown
5FS,Cc1cc(ccc1C2=CS(=O)(=O)C=C2c3ccc(cc3C)O)O,,,unknown
5FT,Cc1cc(ccc1O)C2=C(C3C(CC2S3=O)S(=O)(=O)Oc4ccccc4)c5ccc(c(c5)C)O,,,unknown
5FV,Cc1cc(ccc1C2=C(C3C(CC2S3=O)S(=O)(=O)Oc4ccccc4)c5ccc(cc5C)O)O,,,unknown
5FY,Cc1cc(ccc1C2=C(C3C(CC2S3=O)S(=O)(=O)Oc4ccc(cc4)O)c5ccc(cc5C)O)O,,,unknown
5G2,c1cc(c(cc1O)Cl)C2=CS(=O)(=O)C=C2c3ccc(cc3Cl)O,,,unknown
5G3,c1ccc(c(c1)N=C(c2ccc(cc2)O)c3ccc(cc3O)O)Cl,,,unknown
5G4,Cc1ccccc1N=C(c2ccc(cc2)O)c3ccc(cc3O)O,,,unknown
5G5,c1ccc(c(c1)N=C(c2ccc(cc2)O)c3ccc(cc3)O)Cl,,,unknown
5G6,c1ccc(cc1)N=C(c2ccc(cc2)O)c3ccc(cc3)O,,,unknown
5G7,Cc1ccccc1N=C(c2ccc(cc2)O)c3ccc(cc3)O,,,unknown
5HW,CC1CCCC(=C(c2ccc(cc2)O)c3ccc(cc3)O)C1,,,unknown
5HX,c1ccc(cc1)C(=C2C3CCCC2CCC3)c4ccc(cc4)O,,,unknown
5HZ,c1cc(ccc1C(=C2C3CCCC2CCC3)c4ccc(cc4)O)O,,,unknown
5J0,c1cc(cc(c1)O)C(=C2C3CCCC2CCC3)c4ccc(cc4)O,,,unknown
5J1,c1cc(ccc1C(c2ccc(cc2)O)C3C4CCCC3CCC4)O,,,unknown
5J2,c1cc(ccc1C(=Nc2ccc(cc2)F)c3ccc(cc3O)O)O,,,unknown
5JX,c1cc(ccc1C(=C2CCC(CC2)CF)c3ccc(cc3)O)O,,,unknown
5JY,CCC1CCC(=C(c2ccc(cc2)O)c3ccc(cc3)O)CC1,,,unknown
5K0,CC1CCC(=C(c2ccc(cc2)O)c3ccc(cc3)O)CC1,,,unknown
5K1,CSC1CCCC(=C(c2ccc(cc2)O)c3ccc(cc3)O)C1,,CHEMBL3137328,unknown
5K2,c1ccc2c(c1)CCC(=C(c3ccc(cc3)O)c4ccc(cc4)O)C2,,,unknown
5K4,CCC1CCCC(=C(c2ccc(cc2)O)c3ccc(cc3)O)C1,,,unknown
5K5,c1cc(ccc1C(=C2CCC3CCCCC3C2)c4ccc(cc4)O)O,,,unknown
5K7,COC(=O)CC1CCC(=C(c2ccc(cc2)O)c3ccc(cc3)O)CC1,,,unknown
5K8,COC(=O)C(C1CCCC(=C(c2ccc(cc2)O)c3ccc(cc3)O)C1)C(=O)OC,,CHEMBL2108666,unknown
5KA,c1cc(ccc1C(=C2CCC(CC2)CCOCCCCF)c3ccc(cc3)O)O,,,unknown
5KB,c1ccc(cc1)C2CCCC(=C(c3ccc(cc3)O)c4ccc(cc4)O)C2,,,unknown
5KD,COc1ccc(cc1)C2CCCC(=C(c3ccc(cc3)O)c4ccc(cc4)O)C2,,,unknown
5KE,c1cc(ccc1C2CCCC(=C(c3ccc(cc3)O)c4ccc(cc4)O)C2)O,,,unknown
5KF,c1cc(ccc1C(=C2CCCC(C2)CCO)c3ccc(cc3)O)O,,,unknown
5KG,c1cc(ccc1C(=C2CCC(CC2)CCO)c3ccc(cc3)O)O,,,unknown
5OR,c1cc(ccc1c2c(n3cc(ccc3n2)O)I)O,,,unknown
5OS,c1cc(c(cc1O)Cl)c2cocc2c3ccc(cc3Cl)O,,,unknown
5P1,c1cc(ccc1c2c(n3cc(ccc3n2)O)C(F)(F)F)O,,CHEMBL5314995,unknown
5VP,c1ccc(cc1)c2csc3c2c(nc(n3)Cl)NCc4ccc(cc4)O,,,unknown
5YR,CCCN(C)C(=O)CCCCCCCCCSC1Cc2cc(ccc2C3C1C4CCC(C4(CC3)C)O)O,,,unknown
61Z,c1ccc(cc1)c2csc3c2c(nc(n3)Cl)N4Cc5ccc(cc5C4)O,,,unknown
689,CC1C=C(C2C(C1(COC2c3ccc(cc3)O)CO)C)C,,CHEMBL22317,unknown
6WL,Cn1c2c(cccc2C(F)(F)F)c(n1)c3ccc(cc3O)O,,,unknown
6WM,CC12CCC3c4ccc(cc4CCC3C1CC(C2O)Cc5ccccc5)O,,,unknown
6WN,CC12CCC3c4ccc(cc4CCC3C1CC(=Cc5ccccc5)C2=O)O,,,unknown
6WP,c1ccc2c(c1)cccc2OS(=O)(=O)C3CC4C(=C(C3O4)c5ccc(cc5)O)c6ccc(cc6)O,,,unknown
6WQ,c1cc(ccc1C(=C2CCc3c2ccc(c3)Br)c4ccc(cc4)O)O,,,unknown
6WR,c1cc(c(cc1O)Cl)C2=CCC3C(C2)CCC3O,,,unknown
6WS,c1cc(ccc1C(=C(Cl)Cl)c2ccc(cc2)Cl)Cl,,,unknown
6WU,CC12CC=C(CC1CCC2O)c3cc(c(cc3F)O)F,,,unknown
6WV,CC12CCC3c4ccc(cc4CCC3C1CCC2Nc5ccccc5)O,,,unknown
6WW,CC12CCC3c4ccc(cc4CCC3C1CCC2N(C)c5ccccc5)O,,,unknown
73I,c1cc(ccc1C2=C(C3C(CC2O3)S(=O)(=O)N(CC(F)(F)F)c4ccc(cc4)O)c5ccc(cc5)O)O,,CHEMBL1660,unknown
77I,COc1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)OCCCN5CCCCC5)c6ccc(cc6)O,,,unknown
77W,CC1(c2ccc(cc2CCN1c3ccc(cc3)F)O)c4ccc(cc4)C=CC(=O)O,,,unknown
782,CC(C)c1ccc(cc1)N2CCc3cc(ccc3C2(C)c4ccc(cc4)C=CC(=O)O)O,,CHEMBL208437,unknown
7AI,c1cc(ccc1C2=C(C3C(CC2O3)S(=O)(=O)N(CC(F)(F)F)c4ccc(cc4)OCCN5CCCCC5)c6ccc(cc6)O)O,,,unknown
7E1,c1cc(cc(c1)Cl)OS(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)C=CCCCC(=O)O)c5ccc(cc5)O,,,unknown
7E3,c1cc(cc(c1)Cl)OS(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)OCCCCC(=O)O)c5ccc(cc5)O,,CHEMBL1201584,unknown
7EB,CN(C)CCOc1ccc(cc1)C2=C(C3CC(C2O3)S(=O)(=O)Oc4ccc(cc4)Br)c5ccc(cc5)O,,,unknown
7EC,c1cc(ccc1C2=C(C3C(CC2O3)S(=O)(=O)Oc4ccc(cc4)Br)c5ccc(cc5)OCCN6CCCCC6)O,,,unknown
7ED,CCC(c1ccc(cc1)O)C(c2ccc(cc2)O)C(=O)OCCCCCCCCOC(=O)C(c3ccc(cc3)O)C(CC)c4ccc(cc4)O,,,unknown
7EE,CC12CCC3c4ccc(cc4CCC3C1CCC2(C#Cc5ccc(cc5)N)O)O,,,unknown
7EF,CC(=CCn1c(c2cccc(c2n1)C(F)(F)F)c3ccc(cc3O)O)C,,CHEMBL2368924,agonist
7EG,c1cc(ccc1c2ccc(c(c2c3ccc(cc3)O)C=NO)O)O,,,unknown
7EH,Cn1c2c(cc(cn2)c3ccccc3)nc1N,,,unknown
7EI,COc1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)OCCN5CCCCC5)c6ccc(cc6)O,,,unknown
7EL,c1cc(ccc1c2ccc(c(c2Cl)O)C=NO)O,,,unknown
7EM,c1cc(ccc1c2cc(sc2c3ccc(cc3)O)c4ccc(cc4)O)O,,,unknown
7EN,c1cc(c(cc1O)Cl)C2=C(S(=O)C=C2)c3ccc(cc3Cl)O,,,unknown
7EO,c1cc(c(cc1O)Cl)C2=CC=C(S2=O)c3ccc(cc3Cl)O,,,unknown
7EQ,c1cc(c(cc1O)F)C2=CC=C(S2=O)c3ccc(cc3F)O,,,unknown
7ER,c1cc(c(cc1O)F)C2=CS(=O)(=O)C=C2c3ccc(cc3F)O,,,unknown
7ES,c1cc(c(cc1O)F)c2ccsc2c3ccc(cc3F)O,,,unknown
7EV,c1cc(ccc1C2=C(C3CC(C2O3)S(=O)(=O)Oc4ccc(cc4)Br)c5ccc(cc5)OCCCCC(=O)O)O,,,unknown
7FD,CCOC(=O)C=Cc1ccc(cc1)C(=C2CCCCC2)c3ccc(cc3)O,,,unknown
7FG,CCOC(=O)C=Cc1ccc(cc1)C(=C2C3CCCC2CCC3)c4ccc(cc4)O,,,unknown
7FJ,c1ccc2c(c1)CC(=C(c3ccc(cc3)O)c4ccc(cc4)O)C2,,,unknown
7FL,c1cc(ccc1C(=C2CCCCCC2)c3ccc(cc3)O)O,,,unknown
7FO,c1cc(ccc1C2=C(C3C(CC2O3)S(=O)(=O)Oc4ccc(cc4)I)c5ccc(cc5)O)O,,,unknown
7FP,CC(=O)Nc1ccc(cc1)OS(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)O)c5ccc(cc5)O,,,unknown
7FQ,CC12CCC3c4ccc(cc4CCC3C1CC(C2O)Cc5ccc(cc5)OC)O,,,unknown
7FR,CC(C)c1ccc(cc1)N=C2CCC3C2(CCC4C3CCc5c4ccc(c5)O)C,,,unknown
7FS,CC(C)c1ccc(cc1)NC2CCC3C2(CCC4C3CCc5c4ccc(c5)O)C,,,unknown
7FZ,Cc1cc(cc(c1O)C)c2ccc3c(c2)CCC3O,,,unknown
7G0,CC12CCC(CC1CCC2O)c3ccc(cc3)O,,,unknown
7G1,CC12CCC3(CCc4c3ccc(c4)O)CC1CCC2O,,,unknown
7G2,c1cc(c(cc1c2ccc(c(c2)F)O)C=NO)O,,,unknown
7G3,c1cc(ccc1c2ccc(c(c2)C=NO)O)O,,,unknown
7G5,c1cc(ccc1C2=C(CS(=O)(=O)C2)c3ccc(cc3)O)O,,,unknown
7I0,CCC(=C(c1ccc(cc1)C=CC(=O)O)c2ccc3c(c2)c[nH]n3)c4ccc(cc4Cl)F,,,unknown
7I5,c1cc(ccc1C=CC(=O)O)N(CC(F)(F)F)S(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)O)c5ccc(cc5)O,,,unknown
7I9,COc1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)OCCCCN5CCCCC5)c6ccc(cc6)O,,,unknown
7J9,c1cc(ccc1C2=C(C3C(CC2O3)S(=O)(=O)Oc4ccc(cc4)Br)c5ccc(cc5)OCCCCCC(=O)O)O,,,unknown
7JY,c1cc(cc(c1)Cl)OS(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)OCCCCCCC(=O)O)c5ccc(cc5)O,,,unknown
7K6,c1cc(ccc1C2=C(C3C(CC2O3)S(=O)(=O)Oc4ccc(cc4)Br)c5ccc(cc5)OCCCCCCC(=O)O)O,,,unknown
7KL,c1cc(cc(c1)Cl)OS(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)C=CC(=O)O)c5ccc(cc5)O,,,unknown
7M1,c1ccc(cc1)OS(=O)(=O)c2ccc(c(c2)c3ccc(cc3)O)c4ccc(cc4)O,,,unknown
7M4,c1cc(ccc1C=CCCCC(=O)O)C2=C(C3CC(C2O3)S(=O)(=O)Oc4ccc(cc4)Br)c5ccc(cc5)O,,,unknown
7M7,c1cc(ccc1c2ccc(cc2c3ccc(cc3)O)S(=O)(=O)Oc4ccc(cc4)Br)O,,,unknown
7OI,c1ccc(cc1)COc2ccc(cc2)N(CC(F)(F)F)S(=O)(=O)C3CC4C(=C(C3O4)c5ccc(cc5)O)c6ccc(cc6)O,,,unknown
7OR,COc1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)OCc5ccccc5)c6ccc(cc6)O,,,unknown
7Q5,COC(=O)C=Cc1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)O)c5ccc(cc5)O,,,unknown
7QN,Cc1c(ccc2c1CCN(C2c3ccc(cc3)C=CC(=O)O)CC(C)C)O,,,unknown
