lig_code,smiles,inchikey,chembl_id,er_action
85M,CC1c2ccc(cc2OC(C1c3ccc(cc3)O)c4ccc(cc4)OCCN5CCCC5)O,,,unknown
85Z,Cc1cc(ccc1C2=C(c3ccc(cc3OC2=O)O)Cc4ccc(cc4)C=CC(=O)O)F,,,unknown
86V,CC1CCN(C1)CCOc2ccc(cc2)C3C(=C(c4ccc(cc4O3)O)C)c5ccc(cc5)O,,,unknown
86Y,CC1CCN(C1)CCOc2ccc(cc2)C3C(=C(c4ccc(cc4O3)O)C)c5ccc(cc5)O,,,unknown
98L,c1ccc(cc1)c2csc3c2c(nc(n3)Cl)NCc4cccc(c4)O,,,unknown
9XY,CCC(=C(c1ccc(cc1)O)c2ccc(cc2)OCCNC)c3ccccc3,,,unknown
A48,B(c1c(cc(cc1C)C)C)(c2c(cc(cc2C)C)C)N(CC(F)(F)F)c3ccc(cc3)O,,CHEMBL3301578,unknown
AEJ,c1ccc(cc1)N2CCc3cc(ccc3C2c4ccc(cc4)N5CCN6CCCCC6C5)O,,CHEMBL467196,unknown
AIH,CC1CN(CC1C)CCOc2ccc(cc2)C3C(Sc4cc(ccc4O3)O)c5ccc(cc5)O,,,unknown
AIJ,CC(COc1ccc(cc1)C2C(Sc3cc(ccc3O2)O)c4ccc(cc4)O)N5CCCC5,,,unknown
AIT,CC(COc1ccc(cc1)C2C(Sc3cc(ccc3O2)O)c4ccc(cc4)O)N5CCCC5,,CHEMBL508897,unknown
AIU,CC1CN(CC1C)CCOc2ccc(cc2)C3C(Sc4cc(ccc4O3)O)c5ccc(cc5)O,,,unknown
BCT,C(=O)(O)[O-],,CHEMBL5314397,unknown
C3D,c1ccc(cc1)C2CCc3cc(ccc3C2c4ccc(cc4)OCCN5CCCC5)O,,,unknown
C6V,CC(c1cc(ccc1c2c(c3ccc(cc3s2)O)Oc4ccc(cc4)C=CC(=O)O)F)(F)F,,,unknown
C8L,C1N2C3C4N(C2=O)CN5C6C7N(C5=O)CN8C9C2N(C8=O)CN5C8C%10N(C5=O)CN5C%11C%12N(C5=O)CN5C%13C%14N(C5=O)CN5C%15C%16N(C5=O)CN5C%17C(N1C5=O)N1CN3C(=O)N4CN6C(=O)N7CN9C(=O)N2CN8C(=O)N%10CN%11C(=O)N%12CN%13C(=O)N%14CN%15C(=O)N%16CN%17C1=O,,,unknown
CCS,C(C(C(=O)O)N)SCC(=O)O,,CHEMBL2251848,unknown
CM3,CC1c2c(ccc(c2F)O)OC(C1c3ccc(cc3)O)c4ccc(cc4)OCCN5CCCCC5,,CHEMBL2109481,unknown
CM4,CC1c2cc(ccc2OC(C1c3ccc(cc3)O)c4ccc(cc4)OCCN5CCCC5)O,,CHEMBL4753998,unknown
CME,C(CSSCC(C(=O)O)N)O,,CHEMBL2106658,unknown
CSO,C(C(C(=O)O)N)SO,,CHEMBL2262845,unknown
CUE,c1cc2c(cc1O)oc-3c2C(=O)Oc4c3ccc(c4)O,,CHEMBL1201625,unknown
DC8,c1cc(ccc1C2C3CC(CC3c4cc(ccc4O2)O)(F)F)O,,CHEMBL88153,unknown
DES,CCC(=C(CC)c1ccc(cc1)O)c2ccc(cc2)O,,CHEMBL475,unknown
DMS,CS(=O)C,,CHEMBL504,unknown
DRQ,CCC=Cc1cc2c(cc1O)CCC3C2CCC4(C3CCC4O)C,,,unknown
E4D,c1cc(ccc1C2C(Oc3ccc(cc3S2)O)c4ccc(cc4)OCCN5CCCCC5)O,,,unknown
EED,CC12CC(C3c4ccc(cc4CCC3C1CCC2O)O)COC,,CHEMBL2108130,unknown
EES,c1cc(ccc1n2c(c3cc(ccc3n2)O)Cl)O,,CHEMBL10017,unknown
EEU,CC12CCC3c4ccc(cc4CCC3C1CCC2(C#Cc5cc(nc(c5)CN(CC(=O)O)CC(=O)O)CN(CC(=O)O)CC(=O)O)O)O,,,unknown
EI1,CCc1c2cc(ccc2nn1c3ccc(cc3)O)O,,CHEMBL5882296,unknown
EMY,c1ccc(cc1)CC(=O)Sc2cc(nc(n2)Cl)NCc3ccc(cc3)O,,CHEMBL388565,unknown
ESE,CC12CCC(CC1CCC2O)c3ccc(cc3)O,,CHEMBL475,unknown
ESL,CC12CCC3c4ccc(cc4CCC3C1CC(C2O)O)O,,CHEMBL315985,unknown
EST,CC12CCC3c4ccc(cc4CCC3C1CCC2O)O,,CHEMBL135,agonist
ETC,CCC1Cc2cc(ccc2C3=C1c4ccc(cc4CC3CC)O)O,,CHEMBL1883512,unknown
EU,[Eu+2],,CHEMBL267179,unknown
EZT,CC12CCC3c4ccc(cc4CCC3C1CCC2(C=Cc5ccccc5C(F)(F)F)O)O,,CHEMBL1370,agonist
F3D,CCC(=C(c1ccc(cc1)OCCNCCCC(=O)N(C)C)c2ccc3c(c2)cn[nH]3)c4ccccc4,,CHEMBL1129,unknown
FNJ,CCC(c1ccc(cc1)O)C(c2ccccc2)c3ccc(cc3)O,,,unknown
FSV,c1cc(c(cc1C=Cc2cc(cc(c2)O)O)F)O,,,unknown
FYS,CCC(c1ccc(cc1)O)C(c2ccc(cc2)O)c3ccc(cc3)O,,,unknown
G8Y,c1cc(ccc1C2C3=C(CCOc4c3ccc(c4)O)c5ccc(cc5O2)O)OCCN6CC(C6)CF,,,unknown
G9J,CC1=C(C(Oc2c1cc(cc2)O)c3ccc(cc3)I)c4cccc(c4)O,,,unknown
GEN,c1cc(ccc1C2=COc3cc(cc(c3C2=O)O)O)O,,CHEMBL28,unknown
GQD,CC1Cc2cc(ccc2C(N1CC(C)C)c3ccc(cc3)C=CC(=O)O)O,,,unknown
GW5,CCC(=C(c1ccccc1)c2ccc(cc2)C=CC(=O)O)c3ccccc3,,CHEMBL38943,agonist
GZI,Cc1c(c(cnc1OCCNCCCF)F)C2c3c(c4ccccc4[nH]3)CC(N2CC(C)C(=O)O)C,,CHEMBL4297803,unknown
H09,Cc1c(ccc(c1C2c3c(c4ccccc4[nH]3)CC(N2CC(CO)(F)F)C)F)OCCNCCCF,,,unknown
H8W,CC(C)CN1CCc2c(ccc3c2cn[nH]3)C1c4ccc(cc4)CCC(=O)O,,,unknown
HZ3,COC(=O)C1=C(C2C(=C(C1O2)c3ccc(cc3)O)c4ccc(cc4)O)C(=O)OC,,,unknown
I0G,c1cc(ccc1C2C3CCCC3c4cc(ccc4O2)O)O,,,unknown
I0V,CCNCCc1ccc(cc1)CN(CC)c2cc(ccc2C3CCc4cc(ccc4C3)O)OC,,,unknown
IAT,c1cc(ccc1C2=C(C3C(CC2O3)S(=O)(=O)Oc4ccc(cc4)n5cncn5)c6ccc(cc6)O)O,,CHEMBL426392,unknown
IOG,CC(CCc1ccc(cc1)O)NC(=O)Cc2c3ccc(cc3[nH]c2c4ccccc4)OCCN5CCCCC5,,CHEMBL595,unknown
IOK,CC(CCc1ccc(cc1)O)NC(=O)Cc2c3ccccc3[nH]c2c4ccccc4,,CHEMBL551554,unknown
J0W,CC(C)CN1CCc2cc(ccc2C1(C)c3ccc(cc3)C=CC(=O)O)O,,,unknown
J2Z,CC12CCC3c4ccc(cc4CCC3C1CC(C2=O)O)O,,,unknown
J3Z,CC12CCC3c4ccc(cc4CCC3C1CCC2=O)O,,,unknown
JJ3,COCc1cc(cc2c1OC(C3C2CCC3)c4ccc(cc4)O)O,,,unknown
KE9,CC1Cc2c3ccccc3[nH]c2C(N1CC(C)(C)F)c4c(cc(cc4F)C=CC(=O)O)F,,,unknown
KN0,c1ccc(cc1)Cn2c3c(cccc3C(F)(F)F)c(n2)c4ccc(cc4O)O,,CHEMBL4297562,unknown
KN1,C=CCn1c2c(cccc2C(F)(F)F)c(n1)c3ccc(cc3O)O,,CHEMBL197676,unknown
KN2,c1cc2c(cc1O)[nH]nc2c3ccc(cc3O)O,,,unknown
KN3,CC(=CCn1c2c(cccc2C(F)(F)F)c(n1)c3ccc(cc3O)O)C,,,unknown
L4G,CS(=O)(=O)c1ccc(cc1)c2ccc3cc(ccc3c2Oc4ccc(cc4)OCCN5CCCCC5)O,,,unknown
L5B,c1cc(ccc1C2=C(CCCc3c2ccc(c3)C(=O)O)c4ccc(cc4Cl)Cl)OC5CCN(C5)CCCF,,,unknown
L84,c1cc(ccc1C2=C(C3C(CC2O3)S(=O)(=O)N(CC(F)(F)F)c4ccc(cc4)OCCCN5CCCCC5)c6ccc(cc6)O)O,,CHEMBL256913,unknown
LLB,CC1CCN(CC1)CCOc2ccc(cc2)C(=O)c3c4ccc(cc4sc3c5ccc(cc5)O)O,,CHEMBL1614877,unknown
LLC,c1cc(ccc1c2c(c3ccc(cc3s2)O)C(=O)c4ccc(cc4)OCCN5CCCC5)O,,CHEMBL465561,unknown
LRQ,CC(C)(CN1C2CCCC1(c3c(c4ccccc4[nH]3)C2)c5c(cc(cc5F)C=CC(=O)O)F)F,,,unknown
LVH,CC1Cc2c3ccccc3[nH]c2C(N1CC(C)(C)F)(C)c4c(cc(cc4F)C=CC(=O)O)F,,,unknown
LYQ,c1cc(c(cc1O)Cl)C2C3CCCC3c4cc(ccc4N2)S(=O)(=O)N,,CHEMBL1683544,unknown
MLZ,CNCCCCC(C(=O)O)N,,,unknown
ND1,CN(C)C(=O)C=CCNCCOc1ccc(cn1)C(=C(CC(F)(F)F)c2ccccc2)c3ccc4c(c3)c([nH]n4)F,,,unknown
NYU,CC12CC(C3c4ccc(cc4CCC3C1CCC2O)O)c5ccc(cc5)OCCN(C)C,,CHEMBL480491,unknown
OB1,c1ccc(cc1)NS(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)O)c5ccc(cc5)O,,,unknown
OB2,CN(c1ccccc1)S(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)O)c5ccc(cc5)O,,,unknown
OB3,CN(c1ccccc1Cl)S(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)O)c5ccc(cc5)O,,,unknown
OB5,CCN(c1ccc(cc1)OC)S(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)O)c5ccc(cc5)O,,CHEMBL3701382,unknown
OB7,CCN(c1ccc(cc1)Cl)S(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)O)c5ccc(cc5)O,,,unknown
OB8,CCN(c1ccc2ccccc2c1)S(=O)(=O)C3CC4C(=C(C3O4)c5ccc(cc5)O)c6ccc(cc6)O,,,unknown
OB9,c1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)O)c5ccc(cc5)O,,,unknown
OBB,c1cc(cc(c1)Br)OS(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)O)c5ccc(cc5)O,,CHEMBL2108758,unknown
OBC,c1ccc(c(c1)OS(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)O)c5ccc(cc5)O)F,,,unknown
OBH,c1cc(ccc1C2=C(C3C(CC2O3)S(=O)(=O)OC4C=CCC=C4)c5ccc(cc5)O)O,,CHEMBL1807754,unknown
OBM,c1cc(ccc1C2=C(C3C(CC2O3)S(=O)(=O)Oc4ccc(cc4)Br)c5ccc(cc5)O)O,,,unknown
OBT,c1cc(ccc1C2=C(C3C(CC2O3)S(=O)(=O)N(CC(F)(F)F)c4ccc(cc4)Cl)c5ccc(cc5)O)O,,CHEMBL449423,unknown
ODE,CCOC(=O)C1C(C2C(=C(C1O2)c3ccc(cc3)O)c4ccc(cc4)O)C(=O)OCC,,CHEMBL485,unknown
ODY,CC1=C(C(Oc2c1cccc2O)c3ccc(cc3)OCCN4CC(C4)CF)c5cccc(c5)O,,CHEMBL942,unknown
OFB,c1cc(cc(c1)F)OS(=O)(=O)C2CC3C(=C(C2O3)c4ccc(cc4)O)c5ccc(cc5)O,,,unknown
OGJ,CC1=C(C(Oc2c1cc(cc2)O)c3ccc(cc3)OCCN4CC(C4)CF)c5cccc(c5)O,,,unknown
OHT,CCC(=C(c1ccc(cc1)O)c2ccc(cc2)OCCN(C)C)c3ccccc3,,CHEMBL489,agonist
PIQ,Cn1c2cc(cnc2nc1N)c3ccccc3,,CHEMBL1192678,unknown
PTI,c1ccc(cc1)N2CCc3cc(ccc3C2c4ccc(cc4)OCCN5CCCCC5)O,,CHEMBL493,unknown
Q97,CCC(=C(c1ccc(cc1)O)c2ccc(cc2)OCC)c3ccc(cc3)O,,,unknown
QHG,CC(C)CN1CCc2cc(ccc2C1c3ccc(cc3)C=CC(=O)O)O,,,unknown
QNE,CC1Cc2c(ccc3c2c[nH]n3)C(N1CC4(CC4)F)c5ccc(cc5OC)NC6CN(C6)CCCF,,CHEMBL1253443,unknown
QNH,CCCN1CC(C1)Nc2ccc(nc2)C3c4ccc5c(c4CC(N3CC(F)(F)F)C)cn[nH]5,,,unknown
QNK,CC1Cc2c(ccc3c2c[nH]n3)C(N1CC4(CC4)F)c5ccc(cn5)NC6CN(C6)CCCF,,CHEMBL1651739,unknown
QSO,COc1ccc(cc1)C2=COc3cc(cc(c3C2=O)O)O,,,unknown
QYM,CC12CC(C3c4ccc(cc4CCC3C1CCC2O)O)c5ccc(cc5)OCCN(C)C,,,unknown
R3V,CC1CCN(C1)CCOc2ccc(cc2)C3c4ccc(cc4CCC3c5ccccc5)O,,,unknown
RAL,c1cc(ccc1c2c(c3ccc(cc3s2)O)C(=O)c4ccc(cc4)OCCN5CCCCC5)O,,CHEMBL81,modulator
RL4,CC1CCCN1CCOc2ccc(cc2)C3c4ccc(cc4CCC3c5ccccc5)O,,CHEMBL2105377,unknown
SCH,CSSCC(C(=O)O)N,,CHEMBL62,unknown
STL,c1cc(ccc1C=Cc2cc(cc(c2)O)O)O,,CHEMBL2108623,unknown
T3O,CC1=CCC2CC1C(OC2(C)C)c3ccc(cc3)O,,,unknown
TPO,CC(C(C(=O)O)N)OP(=O)(O)O,,CHEMBL326632,unknown
TQF,CCN1CC(C1)Oc2ccc(cc2)C3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,,,unknown
TS7,CCCN1CC(C1)Oc2ccc(cc2)C3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,,CHEMBL4297913,unknown
TT5,c1ccc(cc1)C(=O)N2C(c3ccc(cc3CC24CC4)O)c5ccc(cc5)OCCN6CCCCC6,,,unknown
TTU,CCN1CCC(C1)Oc2ccc(cc2)C3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,,CHEMBL443876,unknown
TU9,CCN1CCC(C1)COc2ccc(cc2)C3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,,,unknown
TV3,CCCN1CCC(C1)COc2ccc(cc2)C3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,,,unknown
TVF,CC1CCN(C1)CCOc2ccc(cc2)C3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,,,unknown
TVL,CC1CCCN1CCOc2ccc(cc2)C3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,,CHEMBL593187,unknown
TVX,CN(C)CCOc1ccc(cc1)C2c3ccc(cc3CC4(N2C(=O)c5ccccc5)CC4)O,,CHEMBL1451633,unknown
TW6,CNCCOc1ccc(cc1)C2c3ccc(cc3CC4(N2C(=O)c5ccccc5)CC4)O,,,unknown
TWF,CCNCCOc1ccc(cc1)C2c3ccc(cc3CC4(N2C(=O)c5ccccc5)CC4)O,,,unknown
TX9,CCCCCN1CCC(C1)COc2ccc(cc2)C3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,,CHEMBL6068046,unknown
TXK,CCCN1CCC(C1)CCc2ccc(cc2)C3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,,,unknown
TZ3,CCCN1CCC(C1)CSc2ccc(cc2)C3c4ccc(cc4CC5(N3C(=O)c6ccccc6)CC5)O,,CHEMBL4650444,unknown
TZI,c1ccc(cc1)C(=O)N2C(c3ccc(cc3CC24CC4)O)c5ccc(cc5)OCC6CCN(C6)CCCF,,CHEMBL507823,unknown
U6D,CC1Cc2c3ccccc3[nH]c2C(N1CC(C)(C)F)c4c(cc(cc4F)OCCN5CC(C5)CF)F,,,unknown
V9J,c1cc(ccc1c2c3ccc(cc3sc2Oc4ccc(cc4)O)O)F,,,unknown
VQI,Cc1cc2c(cc1O)CCN(C2c3ccc(cc3)C=CC(=O)O)CC(C)C,,,unknown
WST,c1cc(c2c(c1)OC(C3C2CCC3)c4ccc(cc4)O)O,,CHEMBL9967,agonist
WVE,c1cc(c(cc1O)Cl)C2C3CCCC3c4cc(ccc4N2)S(=O)(=O)N,,CHEMBL1118,unknown
WVR,c1cc(ccc1C2C3CCCC3c4cc(ccc4N2)S(=O)(=O)N)O,,,unknown
WVW,c1cc(ccc1C2C3CCCC3c4cc(ccc4N2)S(=O)(=O)N)O,,,unknown
XBR,c1ccc2c(c1)c3c([nH]2)C(N(CC3)CCC(=O)O)c4ccc(cc4)Cl,,CHEMBL1200638,agonist
XDH,CC(C)(c1cc(c(c(c1)Cl)O)Cl)c2cc(c(c(c2)Cl)O)Cl,,,unknown
YCM,C(C(C(=O)O)N)SCC(=O)N,,CHEMBL569677,unknown
ZER,CC1CCCC(=O)CCCC=Cc2cc(cc(c2C(=O)O1)O)O,,CHEMBL77131,unknown
ZN,[Zn+2],,CHEMBL110,unknown
ZNM,CC1Cc2c3ccccc3[nH]c2C(N1CC(CO)(F)F)c4c(cc(cc4F)NC5CN(C5)CCCF)F,,,unknown
ZTW,c1cc(ccc1c2cc3ccc(cc3s2)O)O,,,unknown
