,4j24,1x7j,4j26,1l2j,3ols,1x78,2nv7,2yjd,7xwr,7xwq,7xwp,2z4b,2jj3,7xvz,1yy4,1u9e,2fsz,5toa,1yye,4zi1,1x7b,1nde,2yly,1u3q,1u3s,1u3r,2qtu,1qkm,1x76,3oll,2i0g,2giu
4j24,1.0,0.24489795918367346,1.0,0.32558139534883723,1.0,0.037037037037037035,0.2708333333333333,0.13559322033898305,0.03488372093023256,0.03571428571428571,0.02531645569620253,0.25,0.22807017543859648,0.023255813953488372,0.037037037037037035,0.037037037037037035,0.14285714285714285,1.0,0.25,0.024390243902439025,0.16129032258064516,0.08860759493670886,0.13333333333333333,0.2608695652173913,0.037037037037037035,0.037037037037037035,0.21311475409836064,0.24489795918367346,0.037037037037037035,1.0,0.2708333333333333,0.3333333333333333
1x7j,0.24489795918367346,1.0,0.24489795918367346,0.2558139534883721,0.24489795918367346,0.0125,0.2608695652173913,0.16363636363636364,0.011764705882352941,0.012048192771084338,0.012987012987012988,0.2916666666666667,0.2641509433962264,0.011904761904761904,0.0125,0.0125,0.13114754098360656,0.24489795918367346,0.24,0.02531645569620253,0.21052631578947367,0.10666666666666667,0.14035087719298245,0.34146341463414637,0.0125,0.0125,0.24561403508771928,1.0,0.0125,0.24489795918367346,0.3181818181818182,0.1896551724137931
4j26,1.0,0.24489795918367346,1.0,0.32558139534883723,1.0,0.037037037037037035,0.2708333333333333,0.13559322033898305,0.03488372093023256,0.03571428571428571,0.02531645569620253,0.25,0.22807017543859648,0.023255813953488372,0.037037037037037035,0.037037037037037035,0.14285714285714285,1.0,0.25,0.024390243902439025,0.16129032258064516,0.08860759493670886,0.13333333333333333,0.2608695652173913,0.037037037037037035,0.037037037037037035,0.21311475409836064,0.24489795918367346,0.037037037037037035,1.0,0.2708333333333333,0.3333333333333333
1l2j,0.32558139534883723,0.2558139534883721,0.32558139534883723,1.0,0.32558139534883723,0.04054054054054054,0.2857142857142857,0.15384615384615385,0.0379746835443038,0.05263157894736842,0.05714285714285714,0.23404255319148937,0.26,0.038461538461538464,0.04054054054054054,0.04054054054054054,0.2037037037037037,0.32558139534883723,0.3181818181818182,0.0547945205479452,0.3,0.11267605633802817,0.17307692307692307,0.275,0.04054054054054054,0.04054054054054054,0.24074074074074073,0.2558139534883721,0.04054054054054054,0.32558139534883723,0.2558139534883721,0.32653061224489793
3ols,1.0,0.24489795918367346,1.0,0.32558139534883723,1.0,0.037037037037037035,0.2708333333333333,0.13559322033898305,0.03488372093023256,0.03571428571428571,0.02531645569620253,0.25,0.22807017543859648,0.023255813953488372,0.037037037037037035,0.037037037037037035,0.14285714285714285,1.0,0.25,0.024390243902439025,0.16129032258064516,0.08860759493670886,0.13333333333333333,0.2608695652173913,0.037037037037037035,0.037037037037037035,0.21311475409836064,0.24489795918367346,0.037037037037037035,1.0,0.2708333333333333,0.3333333333333333
1x78,0.037037037037037035,0.0125,0.037037037037037035,0.04054054054054054,0.037037037037037035,1.0,0.06578947368421052,0.06097560975609756,0.676923076923077,0.8771929824561403,0.711864406779661,0.024096385542168676,0.034482758620689655,0.5882352941176471,1.0,1.0,0.05747126436781609,0.037037037037037035,0.0625,0.3333333333333333,0.045454545454545456,0.0392156862745098,0.047619047619047616,0.012987012987012988,1.0,1.0,0.044444444444444446,0.0125,1.0,0.037037037037037035,0.0125,0.045454545454545456
2nv7,0.2708333333333333,0.2608695652173913,0.2708333333333333,0.2857142857142857,0.2708333333333333,0.06578947368421052,1.0,0.18518518518518517,0.04878048780487805,0.06329113924050633,0.05405405405405406,0.21568627450980393,0.3137254901960784,0.0625,0.06578947368421052,0.06578947368421052,0.1896551724137931,0.2708333333333333,0.24,0.06578947368421052,0.1694915254237288,0.136986301369863,0.2037037037037037,0.1956521739130435,0.06578947368421052,0.06578947368421052,0.22413793103448276,0.2608695652173913,0.06578947368421052,0.2708333333333333,0.3181818181818182,0.1896551724137931
2yjd,0.13559322033898305,0.16363636363636364,0.13559322033898305,0.15384615384615385,0.13559322033898305,0.06097560975609756,0.18518518518518517,1.0,0.045454545454545456,0.058823529411764705,0.05,0.15254237288135594,0.19672131147540983,0.05813953488372093,0.06097560975609756,0.06097560975609756,0.22950819672131148,0.13559322033898305,0.11475409836065574,0.06097560975609756,0.171875,0.14102564102564102,0.18333333333333332,0.1509433962264151,0.06097560975609756,0.06097560975609756,0.18461538461538463,0.16363636363636364,0.06097560975609756,0.13559322033898305,0.16363636363636364,0.11940298507462686
7xwr,0.03488372093023256,0.011764705882352941,0.03488372093023256,0.0379746835443038,0.03488372093023256,0.676923076923077,0.04878048780487805,0.045454545454545456,1.0,0.6716417910447762,0.7377049180327869,0.022727272727272728,0.03260869565217391,0.5915492957746479,0.676923076923077,0.676923076923077,0.043010752688172046,0.03488372093023256,0.034482758620689655,0.345679012345679,0.031914893617021274,0.037383177570093455,0.03333333333333333,0.012195121951219513,0.676923076923077,0.676923076923077,0.042105263157894736,0.011764705882352941,0.676923076923077,0.03488372093023256,0.011764705882352941,0.043010752688172046
7xwq,0.03571428571428571,0.012048192771084338,0.03571428571428571,0.05263157894736842,0.03571428571428571,0.8771929824561403,0.06329113924050633,0.058823529411764705,0.6716417910447762,1.0,0.7049180327868853,0.023255813953488372,0.03333333333333333,0.5633802816901409,0.8771929824561403,0.8771929824561403,0.07954545454545454,0.03571428571428571,0.060240963855421686,0.35443037974683544,0.05555555555555555,0.0380952380952381,0.04597701149425287,0.0125,0.8771929824561403,0.8771929824561403,0.043010752688172046,0.012048192771084338,0.8771929824561403,0.03571428571428571,0.012048192771084338,0.05555555555555555
7xwp,0.02531645569620253,0.012987012987012988,0.02531645569620253,0.05714285714285714,0.02531645569620253,0.711864406779661,0.05405405405405406,0.05,0.7377049180327869,0.7049180327868853,1.0,0.025,0.03571428571428571,0.5671641791044776,0.711864406779661,0.711864406779661,0.05952380952380952,0.02531645569620253,0.0379746835443038,0.32894736842105265,0.047058823529411764,0.04040404040404041,0.036585365853658534,0.013513513513513514,0.711864406779661,0.711864406779661,0.04597701149425287,0.012987012987012988,0.711864406779661,0.02531645569620253,0.012987012987012988,0.05952380952380952
2z4b,0.25,0.2916666666666667,0.25,0.23404255319148937,0.25,0.024096385542168676,0.21568627450980393,0.15254237288135594,0.022727272727272728,0.023255813953488372,0.025,1.0,0.33962264150943394,0.022988505747126436,0.024096385542168676,0.024096385542168676,0.12307692307692308,0.25,0.2692307692307692,0.024096385542168676,0.21666666666666667,0.10126582278481013,0.13114754098360656,0.2553191489361702,0.024096385542168676,0.024096385542168676,0.5625,0.2916666666666667,0.024096385542168676,0.25,0.631578947368421,0.21666666666666667
2jj3,0.22807017543859648,0.2641509433962264,0.22807017543859648,0.26,0.22807017543859648,0.034482758620689655,0.3137254901960784,0.19672131147540983,0.03260869565217391,0.03333333333333333,0.03571428571428571,0.33962264150943394,1.0,0.03296703296703297,0.034482758620689655,0.034482758620689655,0.18181818181818182,0.22807017543859648,0.24561403508771928,0.034482758620689655,0.2786885245901639,0.10843373493975904,0.1935483870967742,0.18518518518518517,0.034482758620689655,0.034482758620689655,0.7021276595744681,0.2641509433962264,0.034482758620689655,0.22807017543859648,0.5227272727272727,0.18181818181818182
7xvz,0.023255813953488372,0.011904761904761904,0.023255813953488372,0.038461538461538464,0.023255813953488372,0.5882352941176471,0.0625,0.05813953488372093,0.5915492957746479,0.5633802816901409,0.5671641791044776,0.022988505747126436,0.03296703296703297,1.0,0.5882352941176471,0.5882352941176471,0.054945054945054944,0.023255813953488372,0.03488372093023256,0.5,0.03225806451612903,0.047619047619047616,0.045454545454545456,0.012345679012345678,0.5882352941176471,0.5882352941176471,0.0425531914893617,0.011904761904761904,0.5882352941176471,0.023255813953488372,0.011904761904761904,0.043478260869565216
1yy4,0.037037037037037035,0.0125,0.037037037037037035,0.04054054054054054,0.037037037037037035,1.0,0.06578947368421052,0.06097560975609756,0.676923076923077,0.8771929824561403,0.711864406779661,0.024096385542168676,0.034482758620689655,0.5882352941176471,1.0,1.0,0.05747126436781609,0.037037037037037035,0.0625,0.3333333333333333,0.045454545454545456,0.0392156862745098,0.047619047619047616,0.012987012987012988,1.0,1.0,0.044444444444444446,0.0125,1.0,0.037037037037037035,0.0125,0.045454545454545456
1u9e,0.037037037037037035,0.0125,0.037037037037037035,0.04054054054054054,0.037037037037037035,1.0,0.06578947368421052,0.06097560975609756,0.676923076923077,0.8771929824561403,0.711864406779661,0.024096385542168676,0.034482758620689655,0.5882352941176471,1.0,1.0,0.05747126436781609,0.037037037037037035,0.0625,0.3333333333333333,0.045454545454545456,0.0392156862745098,0.047619047619047616,0.012987012987012988,1.0,1.0,0.044444444444444446,0.0125,1.0,0.037037037037037035,0.0125,0.045454545454545456
2fsz,0.14285714285714285,0.13114754098360656,0.14285714285714285,0.2037037037037037,0.14285714285714285,0.05747126436781609,0.1896551724137931,0.22950819672131148,0.043010752688172046,0.07954545454545454,0.05952380952380952,0.12307692307692308,0.18181818181818182,0.054945054945054944,0.05747126436781609,0.05747126436781609,1.0,0.14285714285714285,0.12307692307692308,0.08235294117647059,0.1267605633802817,0.10588235294117647,0.22580645161290322,0.11864406779661017,0.05747126436781609,0.05747126436781609,0.15492957746478872,0.13114754098360656,0.05747126436781609,0.14285714285714285,0.15,0.14285714285714285
5toa,1.0,0.24489795918367346,1.0,0.32558139534883723,1.0,0.037037037037037035,0.2708333333333333,0.13559322033898305,0.03488372093023256,0.03571428571428571,0.02531645569620253,0.25,0.22807017543859648,0.023255813953488372,0.037037037037037035,0.037037037037037035,0.14285714285714285,1.0,0.25,0.024390243902439025,0.16129032258064516,0.08860759493670886,0.13333333333333333,0.2608695652173913,0.037037037037037035,0.037037037037037035,0.21311475409836064,0.24489795918367346,0.037037037037037035,1.0,0.2708333333333333,0.3333333333333333
1yye,0.25,0.24,0.25,0.3181818181818182,0.25,0.0625,0.24,0.11475409836065574,0.034482758620689655,0.060240963855421686,0.0379746835443038,0.2692307692307692,0.24561403508771928,0.03488372093023256,0.0625,0.0625,0.12307692307692308,0.25,1.0,0.036585365853658534,0.35185185185185186,0.10126582278481013,0.1694915254237288,0.22916666666666666,0.0625,0.0625,0.25,0.24,0.0625,0.25,0.2653061224489796,0.21666666666666667
4zi1,0.024390243902439025,0.02531645569620253,0.024390243902439025,0.0547945205479452,0.024390243902439025,0.3333333333333333,0.06578947368421052,0.06097560975609756,0.345679012345679,0.35443037974683544,0.32894736842105265,0.024096385542168676,0.034482758620689655,0.5,0.3333333333333333,0.3333333333333333,0.08235294117647059,0.024390243902439025,0.036585365853658534,1.0,0.045454545454545456,0.04950495049504951,0.047619047619047616,0.02631578947368421,0.3333333333333333,0.3333333333333333,0.044444444444444446,0.02531645569620253,0.3333333333333333,0.024390243902439025,0.0125,0.05747126436781609
1x7b,0.16129032258064516,0.21052631578947367,0.16129032258064516,0.3,0.16129032258064516,0.045454545454545456,0.1694915254237288,0.171875,0.031914893617021274,0.05555555555555555,0.047058823529411764,0.21666666666666667,0.2786885245901639,0.03225806451612903,0.045454545454545456,0.045454545454545456,0.1267605633802817,0.16129032258064516,0.35185185185185186,0.045454545454545456,1.0,0.10588235294117647,0.11764705882352941,0.2,0.045454545454545456,0.045454545454545456,0.28125,0.21052631578947367,0.045454545454545456,0.16129032258064516,0.21052631578947367,0.17647058823529413
1nde,0.08860759493670886,0.10666666666666667,0.08860759493670886,0.11267605633802817,0.08860759493670886,0.0392156862745098,0.136986301369863,0.14102564102564102,0.037383177570093455,0.0380952380952381,0.04040404040404041,0.10126582278481013,0.10843373493975904,0.047619047619047616,0.0392156862745098,0.0392156862745098,0.10588235294117647,0.08860759493670886,0.10126582278481013,0.04950495049504951,0.10588235294117647,1.0,0.125,0.1111111111111111,0.0392156862745098,0.0392156862745098,0.10344827586206896,0.10666666666666667,0.0392156862745098,0.08860759493670886,0.10666666666666667,0.09302325581395349
2yly,0.13333333333333333,0.14035087719298245,0.13333333333333333,0.17307692307692307,0.13333333333333333,0.047619047619047616,0.2037037037037037,0.18333333333333332,0.03333333333333333,0.04597701149425287,0.036585365853658534,0.13114754098360656,0.1935483870967742,0.045454545454545456,0.047619047619047616,0.047619047619047616,0.22580645161290322,0.13333333333333333,0.1694915254237288,0.047619047619047616,0.11764705882352941,0.125,1.0,0.12727272727272726,0.047619047619047616,0.047619047619047616,0.16417910447761194,0.14035087719298245,0.047619047619047616,0.13333333333333333,0.16071428571428573,0.13432835820895522
1u3q,0.2608695652173913,0.34146341463414637,0.2608695652173913,0.275,0.2608695652173913,0.012987012987012988,0.1956521739130435,0.1509433962264151,0.012195121951219513,0.0125,0.013513513513513514,0.2553191489361702,0.18518518518518517,0.012345679012345678,0.012987012987012988,0.012987012987012988,0.11864406779661017,0.2608695652173913,0.22916666666666666,0.02631578947368421,0.2,0.1111111111111111,0.12727272727272726,1.0,0.012987012987012988,0.012987012987012988,0.1724137931034483,0.34146341463414637,0.012987012987012988,0.2608695652173913,0.27906976744186046,0.2222222222222222
1u3s,0.037037037037037035,0.0125,0.037037037037037035,0.04054054054054054,0.037037037037037035,1.0,0.06578947368421052,0.06097560975609756,0.676923076923077,0.8771929824561403,0.711864406779661,0.024096385542168676,0.034482758620689655,0.5882352941176471,1.0,1.0,0.05747126436781609,0.037037037037037035,0.0625,0.3333333333333333,0.045454545454545456,0.0392156862745098,0.047619047619047616,0.012987012987012988,1.0,1.0,0.044444444444444446,0.0125,1.0,0.037037037037037035,0.0125,0.045454545454545456
1u3r,0.037037037037037035,0.0125,0.037037037037037035,0.04054054054054054,0.037037037037037035,1.0,0.06578947368421052,0.06097560975609756,0.676923076923077,0.8771929824561403,0.711864406779661,0.024096385542168676,0.034482758620689655,0.5882352941176471,1.0,1.0,0.05747126436781609,0.037037037037037035,0.0625,0.3333333333333333,0.045454545454545456,0.0392156862745098,0.047619047619047616,0.012987012987012988,1.0,1.0,0.044444444444444446,0.0125,1.0,0.037037037037037035,0.0125,0.045454545454545456
2qtu,0.21311475409836064,0.24561403508771928,0.21311475409836064,0.24074074074074073,0.21311475409836064,0.044444444444444446,0.22413793103448276,0.18461538461538463,0.042105263157894736,0.043010752688172046,0.04597701149425287,0.5625,0.7021276595744681,0.0425531914893617,0.044444444444444446,0.044444444444444446,0.15492957746478872,0.21311475409836064,0.25,0.044444444444444446,0.28125,0.10344827586206896,0.16417910447761194,0.1724137931034483,0.044444444444444446,0.044444444444444446,1.0,0.24561403508771928,0.044444444444444446,0.21311475409836064,0.33962264150943394,0.20588235294117646
1qkm,0.24489795918367346,1.0,0.24489795918367346,0.2558139534883721,0.24489795918367346,0.0125,0.2608695652173913,0.16363636363636364,0.011764705882352941,0.012048192771084338,0.012987012987012988,0.2916666666666667,0.2641509433962264,0.011904761904761904,0.0125,0.0125,0.13114754098360656,0.24489795918367346,0.24,0.02531645569620253,0.21052631578947367,0.10666666666666667,0.14035087719298245,0.34146341463414637,0.0125,0.0125,0.24561403508771928,1.0,0.0125,0.24489795918367346,0.3181818181818182,0.1896551724137931
1x76,0.037037037037037035,0.0125,0.037037037037037035,0.04054054054054054,0.037037037037037035,1.0,0.06578947368421052,0.06097560975609756,0.676923076923077,0.8771929824561403,0.711864406779661,0.024096385542168676,0.034482758620689655,0.5882352941176471,1.0,1.0,0.05747126436781609,0.037037037037037035,0.0625,0.3333333333333333,0.045454545454545456,0.0392156862745098,0.047619047619047616,0.012987012987012988,1.0,1.0,0.044444444444444446,0.0125,1.0,0.037037037037037035,0.0125,0.045454545454545456
3oll,1.0,0.24489795918367346,1.0,0.32558139534883723,1.0,0.037037037037037035,0.2708333333333333,0.13559322033898305,0.03488372093023256,0.03571428571428571,0.02531645569620253,0.25,0.22807017543859648,0.023255813953488372,0.037037037037037035,0.037037037037037035,0.14285714285714285,1.0,0.25,0.024390243902439025,0.16129032258064516,0.08860759493670886,0.13333333333333333,0.2608695652173913,0.037037037037037035,0.037037037037037035,0.21311475409836064,0.24489795918367346,0.037037037037037035,1.0,0.2708333333333333,0.3333333333333333
2i0g,0.2708333333333333,0.3181818181818182,0.2708333333333333,0.2558139534883721,0.2708333333333333,0.0125,0.3181818181818182,0.16363636363636364,0.011764705882352941,0.012048192771084338,0.012987012987012988,0.631578947368421,0.5227272727272727,0.011904761904761904,0.0125,0.0125,0.15,0.2708333333333333,0.2653061224489796,0.0125,0.21052631578947367,0.10666666666666667,0.16071428571428573,0.27906976744186046,0.0125,0.0125,0.33962264150943394,0.3181818181818182,0.0125,0.2708333333333333,1.0,0.1896551724137931
2giu,0.3333333333333333,0.1896551724137931,0.3333333333333333,0.32653061224489793,0.3333333333333333,0.045454545454545456,0.1896551724137931,0.11940298507462686,0.043010752688172046,0.05555555555555555,0.05952380952380952,0.21666666666666667,0.18181818181818182,0.043478260869565216,0.045454545454545456,0.045454545454545456,0.14285714285714285,0.3333333333333333,0.21666666666666667,0.05747126436781609,0.17647058823529413,0.09302325581395349,0.13432835820895522,0.2222222222222222,0.045454545454545456,0.045454545454545456,0.20588235294117646,0.1896551724137931,0.045454545454545456,0.3333333333333333,0.1896551724137931,1.0
